2024-5-14 1:55:21,ACE-96,VCA-SBTA95/VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),29.73
2024-5-14 1:55:53,ACE-97,VS20B95843W/SH,VS20B95843WSH Bespoke Jet Plus 210W Misty White,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,VS20B95843W/SH,1,Passed,Z-VCA-WBA95/GL,1,Passed,Z-VCA-ADB952,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,58.07
2024-5-14 1:56:53,ACE-98,VS20B958F3N/SP,VS20B958F3NSP Bespoke Jet Plus 210W Woody Green,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,VS20B958F3N/SP,1,Passed,Z-VCA-TABA95,1,Passed,Z-VCA-ADB952,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,53.83
2024-5-14 1:57:48,ACE-99,VS20B95993B/SH,VS20B95993BSH Bespoke Jet Plus 210W  Midnight Blue,SKU Price,6990,Passed,,,,SKU Price in Cart,6990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,VS20B95993B/SH,1,Passed,Z-VCA-SPW90/VT,1,Passed,Z-VCA-SPA95/GL,1,Passed,Z-ITFITAIRKG06SV,1,Passed,Z-VCA-ADB952,1,Passed,,,,,,,,,,,,,,,,,,,Passed,61.31
2024-5-14 1:58:52,ACE-100,VS20C852CTN/SH,VS20C852CTNSH Jet85 Stick VC Woody Green,SKU Price,3490,Passed,,,,SKU Price in Cart,3490,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,VS20C852CTN/SH,1,Passed,Z-ITFITSD01,1,Passed,Z-VCA-TABA95,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,54.24000000000001
2024-5-14 1:59:47,ACE-101,VS20C852FTB/SH,VS20C852FTBSHJet85 Stick VC Midnight Blue,SKU Price,3990,Passed,,,,SKU Price in Cart,3990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,VS20C852FTB/SH,1,Passed,Z-ITFITSD01,1,Passed,Z-VCA-TABA95,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,53.06
2024-5-14 2:0:42,ACE-102,DF60A8500CG/SH,AI智能魔衣櫥 JetSteam除菌清新,SKU Price,10380,Passed,,,,SKU Price in Cart,10380,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,DF60A8500CG/SH,1,Passed,Z-ITFITEX37,1,Passed,Z-DF-HK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,54.85000000000002
2024-5-14 2:1:39,ACE-103,WA10C14545BVSH,WA10C14545BVSH Ecobubble™ Top Loader with Drain Pump 10kg Black Caviar,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA10C14545BVSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,56.400000000000034
2024-5-14 2:2:37,ACE-104,WA10CG4545BDSH,WA10CG4545BDSH Ecobubble™ Top Loader without Drain Pump 10kg Versailles Gary,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA10CG4545BDSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,55.80000000000001
2024-5-14 2:3:34,ACE-105,WA80C14545BVSH,WA80C14545BVSH Ecobubble™ Top Loader with Drain Pump 8kg Black Caviar,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA80C14545BVSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,50.18999999999994
2024-5-14 2:4:26,ACE-106,WA80CG4545BDSH,WA80CG4545BDSH Ecobubble™ Top Loader without Drain Pump 8kg Versailles Gary,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA80CG4545BDSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,51.81000000000006
