2024-6-18 0:12:18,5,SMP-01,SM-S9280LBPTGY,"Galaxy S24 Ultra, 1TB, Titanium Blue",SKU Price,11998,Passed,Galaxy Credit,500,Passed,SKU Price in Cart,11998,Passed,Extra Trade-In Rebate,1200,Passed,SC Plus Price,998,Passed,Premium Count,2,Passed,-,Items in Cart,SM-S9280LBPTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,89.21
2024-6-18 0:13:49,6,SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,9998,Passed,Galaxy Credit,500,Passed,SKU Price in Cart,9998,Passed,Extra Trade-In Rebate,1200,Passed,SC Plus Price,998,Passed,Premium Count,2,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,81.02
2024-6-18 0:15:17,7,SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,8998,Passed,Galaxy Credit,0,Failed,SKU Price in Cart,0,Failed,Extra Trade-In Rebate,0,Failed,SC Plus Price,0,Failed,Premium Count,-1,Failed,Less - Expected 2 / Actual -1,Items in Cart,,,,,,,,,,,,,,,,,,,,,,,,,Failed,142.1
2024-6-18 0:17:36,8,SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",SKU Price,7998,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,7998,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,998,Passed,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKGTGY,1,Passed,GP-FPS926SBKRW,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,84.49000000000001
2024-6-18 0:19:4,9,SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,6998,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,6998,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,998,Passed,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKDTGY,1,Passed,GP-FPS926SBKRW,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,95.54000000000002
2024-6-18 0:20:41,10,SMP-06,SM-S9210ZKHTGY,"Galaxy S24, 512GB, Onyx Black",SKU Price,6598,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,6598,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,998,Passed,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,GP-FPS926SBKRW,1,Passed,SM-S9210ZKHTGY,1,Passed,GP-FPS921SBKRW,1,Failed,Z-EP-T6530NBEGGB,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,,,,Failed,91.61000000000007
2024-6-18 0:22:15,11,SMP-07,SM-S9210ZKGTGY,"Galaxy S24, 256GB, Onyx Black",SKU Price,5598,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,5598,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,998,Passed,Premium Count,3,Passed,-,Items in Cart,GP-FPS921SBKRW,2,Passed,SM-S9210ZKGTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,89.02999999999997
2024-6-18 0:23:47,12,SMP-08,SM-F9460LBHTGY,"Galaxy Z Fold5 1TB, Icy Blue",SKU Price,13498,Passed,Galaxy Credit,500,Passed,SKU Price in Cart,13498,Passed,Extra Trade-In Rebate,1000,Passed,SC Plus Price,1798,Passed,Premium Count,3,Passed,-,Items in Cart,SM-F9460LBHTGY,1,Passed,Z-SM-R510NZAAASA,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,85.13999999999999
2024-6-18 0:25:14,13,SMP-09,SM-F9460ZUGTGY,"Galaxy Z Fold5 512, Gray (eStore)",SKU Price,11698,Passed,Galaxy Credit,500,Passed,SKU Price in Cart,11698,Passed,Extra Trade-In Rebate,1000,Passed,SC Plus Price,1798,Passed,Premium Count,3,Passed,-,Items in Cart,SM-F9460ZUGTGY,1,Passed,Z-SM-R510NZAAASA,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,84.49000000000001
2024-6-18 0:26:40,14,SMP-10,SM-F9460ZKDTGY,"Galaxy Z Fold5 256, 12GB + 256GB, Black",SKU Price,10798,Passed,Galaxy Credit,500,Passed,SKU Price in Cart,10798,Passed,Extra Trade-In Rebate,1000,Passed,SC Plus Price,1798,Passed,Premium Count,3,Passed,-,Items in Cart,SM-F9460ZKDTGY,1,Passed,Z-SM-R510NZAAASA,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,83.77999999999997
