2024-6-2 7:29:22,S-CTV24-01,QA43LS01DAJXZK,"43"" Lifestyle Serif LS01D",SKU Price,9980,Failed,Galaxy Credit,,,SKU Price in Cart,9980,Failed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43LS01DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,70.84
2024-6-2 7:30:38,S-CTV24-02,QA75LS03DAJXZK,"75"" Lifestyle Frame LS03D",SKU Price,43982,Passed,Galaxy Credit,,,SKU Price in Cart,43982,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,6,Passed,-,Items in Cart,QA75LS03DAJXZK,1,Passed,Z-VG-SCFA75WTBRU,1,Passed,Z-MOOV24BIT6MONTH,1,Failed,Z-HW-S801B/ZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,Failed,93.67999999999999
2024-6-2 7:32:12,S-CTV24-03,QA65LS03DAJXZK,"65"" Lifestyle Frame LS03D",SKU Price,17582,Passed,Galaxy Credit,,,SKU Price in Cart,17582,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,QA65LS03DAJXZK,1,Passed,Z-HW-S801B/ZK,1,Passed,Z-VG-SCFA65WTB,1,Passed,Z-MOOV24BIT6MONTH,1,Failed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,Failed,80.21000000000001
2024-6-2 7:34:31,S-CTV24-03,QA65LS03DAJXZK,"65"" Lifestyle Frame LS03D",SKU Price,17582,Passed,Galaxy Credit,,,SKU Price in Cart,17582,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,QA65LS03DAJXZK,1,Passed,Z-HW-S801B/ZK,1,Passed,Z-VG-SCFA65WTB,1,Passed,Z-MOOV24BIT6MONTH,1,Failed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,Failed,77.25
2024-6-2 7:35:52,S-CTV24-04,QA55LS03DAJXZK,"55"" Lifestyle Frame LS03D",SKU Price,13182,Passed,Galaxy Credit,,,SKU Price in Cart,13182,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA55LS03DAJXZK,1,Passed,Z-HW-S801B/ZK,1,Passed,Z-VG-SCFA55WTBRU,1,Passed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,70.75
2024-6-2 7:37:4,S-CTV24-05,QA50LS03DAJXZK,"50"" Lifestyle Frame LS03D",SKU Price,10542,Passed,Galaxy Credit,,,SKU Price in Cart,10542,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA50LS03DAJXZK,1,Passed,Z-VG-SCFA50WTBRU,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,67.53999999999996
2024-6-2 7:38:14,S-CTV24-06,QA43LS03DAJXZK,"43"" Lifestyle Frame LS03D",SKU Price,8782,Passed,Galaxy Credit,,,SKU Price in Cart,8782,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA43LS03DAJXZK,1,Passed,Z-VG-SCFA43WTBRU,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.25999999999999
2024-6-2 9:49:2,S-CTV24-08,QA75Q70DAJXZK,"75"" QLED Q70D",SKU Price,26382,Passed,Galaxy Credit,,,SKU Price in Cart,26382,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA75Q70DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,89.55999999999999
2024-6-2 9:50:29,S-CTV24-09,QA65Q70DAJXZK,"65"" QLED Q70D",SKU Price,14942,Passed,Galaxy Credit,,,SKU Price in Cart,14942,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA65Q70DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,71.78
2024-6-2 9:51:43,S-CTV24-10,QA55Q70DAJXZK,"55"" QLED Q70D",SKU Price,8782,Passed,Galaxy Credit,,,SKU Price in Cart,8782,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA55Q70DAJXZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,65.18
