2024-5-31 2:4:39,TAB-01,SM-X710NZAATGY,"Galaxy Tab S9, 8GB+128, Graphite",SKU Price,4939,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,4939,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,SM-X710NZAATGY,1,Passed,Z-EF-BX710PBEGWW,1,Passed,Z-ITFITEX43,1,Failed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,85.94999999999999
2024-5-31 2:6:7,TAB-02,SM-X810NZAATGY,"Galaxy Tab S9+, 12GB+256, Graphite",SKU Price,6379,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,6379,Passed,Extra Trade-In Rebate,800,Passed,SC Plus Price,,,Premium Count,0,Failed,Less - Expected 4 / Actual 0,Items in Cart,SM-X810NZAATGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,79.36999999999999
2024-5-31 2:7:29,TAB-03,SM-X910NZAATGY,"Galaxy Tab S9 Ultra, 12GB+256, Graphite",SKU Price,7819,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,7819,Passed,Extra Trade-In Rebate,1200,Passed,SC Plus Price,,,Premium Count,0,Failed,Less - Expected 4 / Actual 0,Items in Cart,SM-X910NZAATGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,77.6
2024-5-31 2:8:48,TAB-04,SM-X510NLGATGY,"Galaxy Tab S9 FE, Wi-Fi, MINT",SKU Price,3088,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,3088,Passed,Extra Trade-In Rebate,1000,Passed,SC Plus Price,498,Passed,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-X510NLGATGY,1,Passed,Z-ITFITAC09,1,Passed,Z-ITFITT10WE,1,Failed,Z-ITFITCS9FEGY,1,Passed,Z-ITFITEX41,1,Passed,,,,,,,,,,,,,,,,,,,Failed,94.82999999999998
2024-5-31 2:10:25,TAB-05,SM-X610NLGATGY,"Galaxy Tab S9 FE+, Wi-Fi, MINT",SKU Price,4288,Passed,Galaxy Credit,200,Passed,SKU Price in Cart,4288,Passed,Extra Trade-In Rebate,1000,Passed,SC Plus Price,498,Passed,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-X610NLGATGY,1,Passed,Z-ITFITCS9FEPGY,1,Passed,Z-ITFITAC09,1,Passed,Z-ITFITT10WE,1,Failed,Z-ITFITEX41,1,Passed,,,,,,,,,,,,,,,,,,,Failed,92.27999999999997
2024-5-31 2:11:59,TAB-08,SM-P620NZAETGY,Galaxy Tab S6 Lite (2024) Wi-Fi Oxford Gray,SKU Price,2288,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,2288,Passed,Extra Trade-In Rebate,600,Failed,SC Plus Price,298,Failed,Premium Count,3,Passed,-,Items in Cart,SM-P620NZAETGY,1,Passed,Z-ITFITAC09,1,Passed,Z-ITFITEX41,1,Passed,Z-ITFITBKCS6LGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,94.13000000000005
2024-5-31 2:13:35,TAB-09,SM-X900NZAETGY,"Galaxy Tab S8 Ultra WIFI, 12GB RAM + 256GB, Black",SKU Price,6782,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,6782,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,SM-X900NZAETGY,1,Passed,Z-EF-BX900PBEGWW,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,58.67999999999995
2024-5-31 2:14:36,NPC-01,NP960XGL-XG1HK,"Galaxy Book4 Uitra 16""/i9/64GB/2TB/RTX4070",SKU Price,25659,Failed,Galaxy Credit,0,Passed,SKU Price in Cart,23980,Passed,Extra Trade-In Rebate,2500,Passed,SC Plus Price,0,Failed,Premium Count,0,Failed,Less - Expected 5 / Actual 0,Items in Cart,NP960XGL-XG1HK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,115.03000000000009
2024-5-31 2:16:37,NPC-02,NP960QGK-KS3HK,"Galaxy Book4 Pro 360 16""/i7/32GB/1TB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40
2024-5-31 2:17:16,NPC-03,NP960XGK-KS5HK,"Galaxy Book4 Pro 16""/i7/32GB/1TB",SKU Price,15680,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,0,Failed,Extra Trade-In Rebate,0,Failed,SC Plus Price,0,Failed,Premium Count,-1,Failed,Less - Expected 4 / Actual -1,Items in Cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,130.71000000000004
