2024-5-21 21:34:52,CEHC-01,QA32LS03CBJXZK,"32"" The Frame LS03C",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA32LS03CBJXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,59.8
2024-5-21 21:35:53,CEHC-02,QA43LS01BAJXZK,43” The Serif LS01B,SKU Price,10200,Passed,,,,SKU Price in Cart,10200,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43LS01BAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.98
2024-5-21 21:36:59,CEHC-03,QA43LS03BAJXZK,43” The Frame LS03B,SKU Price,7480,Passed,,,,SKU Price in Cart,7480,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA43LS03BAJXZK,1,Passed,Z-HW-S61B/ZK,1,Passed,Z-ARTSTORE6MTHS,1,Passed,Z-VG-SCFC43SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,63.019999999999996
2024-5-21 21:38:4,CEHC-04,QA43LS05BAJXZK,"43"" The Sero LS05B",SKU Price,12980,Passed,,,,SKU Price in Cart,12980,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA43LS05BAJXZK,1,Passed,Z-VG-SCST43V/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,64.57999999999998
2024-5-21 21:39:8,CEHC-05,QA43LS05BBJXZK,"43"" The Sero LS05B 白色",SKU Price,12980,Passed,,,,SKU Price in Cart,12980,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA43LS05BBJXZK,1,Passed,Z-VG-SCST43V/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.110000000000014
2024-5-21 21:40:11,CEHC-06,QA43Q60CAJXZK,"43"" QLED 4K Q60C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),22.930000000000007
2024-5-21 21:40:35,CEHC-07,QA43Q61CAJXZK,"43"" QLED 4K Q61C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),23.21999999999997
2024-5-21 21:41:0,CEHC-08,QA43QN90CAJXZK,"43"" Neo QLED 4K QN90C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),24.129999999999995
2024-5-21 21:41:27,CEHC-09,QA50LS03BAJXZK,50” The Frame LS03B,SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,500,Passed,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA50LS03BAJXZK,1,Passed,Z-HW-S61B/ZK,1,Passed,Z-ARTSTORE6MTHS,1,Passed,Z-VG-SCFC50SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,119.32000000000005
2024-5-21 21:43:25,CEHC-10,QA50Q60CAJXZK,"50"" QLED 4K Q60C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),21.040000000000077
