2024-8-5 19:18:29,12,CTV-08,QA65QN95DAJXZK,"65"" Neo QLED 4K QN95D",SKU Price,27980,Passed,,,,SKU Price in Cart,27980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,5,Failed,More - Expected 4 / Actual 5,Items in Cart,QA65QN95DAJXZK,1,Passed,ZG-FREE1YRWAREXT,1,Passed,Z-Y24EPL12MPASS-C,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-QA32LS03CBJXZK,1,Failed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,Failed,60
2024-8-5 19:19:32,13,CTV-09,QA55QN95DAJXZK,"55"" Neo QLED 4K QN95D",SKU Price,19980,Passed,,,,SKU Price in Cart,19980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,6,Passed,-,Items in Cart,QA55QN95DAJXZK,1,Passed,ZG-FREE1YRWAREXT,1,Passed,Z-CESPCOUPONS,10,Passed,Z-Y24EPL12MPASS-C,1,Passed,Z-WMN-B05FB/XY,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,,,,,,,,,,,,,Passed,124.8
2024-8-5 19:21:39,14,CTV-10,QA32LS03CBJXZK,"32"" The Frame LS03C",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA32LS03CBJXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,49.98000000000002
2024-8-5 19:31:56,16,CTV-12,QA43Q60DAJXZK,"43"" QLED Q60D",SKU Price,5280,Passed,,,,SKU Price in Cart,5280,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43Q60DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,42.75
2024-8-5 19:32:36,17,CTV-13,UA32T5300AJXZK,"32"" T5300 FHD Smart TV",SKU Price,3280,Passed,,,,SKU Price in Cart,3280,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,38.47
2024-8-5 19:33:16,18,CTV-14,SP-LFF3CLAXXZK,The Freestyle 2nd Gen,SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,SP-LFF3CLAXXZK,1,Passed,Z-ITFITSD05,1,Passed,Z-VG-FBB3BA,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,40.25
2024-8-5 19:34:0,19,CTV-15,QA83S90DAEXZK,"83"" OLED S90DAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),20.659999999999997
2024-8-5 19:34:22,20,CTV-16,QA77S95DAJXZK,"77"" OLED S95D",SKU Price,62980,Passed,,,,SKU Price in Cart,62980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,QA77S95DAJXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,54.76000000000002
2024-8-5 19:35:19,21,CTV-17,QA77S90DAEXZK,"77"" OLED S90DAE",SKU Price,49980,Passed,,,,SKU Price in Cart,49980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,QA77S90DAEXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,62.22000000000003
2024-8-5 19:36:23,22,CTV-18,QA75LS03DAJXZK,"75"" Lifestyle Frame LS03D",SKU Price,44980,Passed,,,,SKU Price in Cart,44980,Failed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,-1,Failed,Less - Expected 4 / Actual -1,Items in Cart,,,,,,,,,,,,,,,,,,,,,,Failed,74.03000000000003
