2024-5-18 0:30:50,EUS-27,HW-S800D/ZK,S-Series HW-S800D Soundbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),80.48
2024-5-18 0:32:17,EUS-26,HW-LS60D/ZK,S-Series HW-LS60D Music Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),79.21999999999998
2024-5-18 0:33:41,EUS-25,QA98QN90DAJXZK,"98"" Neo QLED 4K QN90D",SKU Price,114382,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,114382,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Passed,-,Items in Cart,QA98QN90DAJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-HW-S800B/ZK,1,Failed,Z-WMN8000SX/XY,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,Passed,177.44
2024-5-18 0:36:45,EUS-24,QA85QN900DJXZK,"85"" Neo QLED 8K QN900D",SKU Price,105582,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,105582,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Failed,Less - Expected 5 / Actual 2,Items in Cart,QA85QN900DJXZK,1,Passed,Z-HW-Q930D/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,130.75
2024-5-18 0:39:4,EUS-23,QA83S90DAEXZK,"83"" OLED S90DAE",SKU Price,75222,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,75222,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,Less - Expected 5 / Actual 4,Items in Cart,QA83S90DAEXZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,Failed,168.36
2024-5-18 0:41:57,EUS-22,QA77S95DAJXZK,"77"" OLED S95D",SKU Price,61582,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,61582,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Passed,-,Items in Cart,QA77S95DAJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-HW-S800B/ZK,1,Failed,Z-QA32LS03CBJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,Passed,166.84000000000003
2024-5-18 0:44:48,EUS-21,QA77S90DAEXZK,"77"" OLED S90DAE",SKU Price,47502,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,47502,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,Less - Expected 5 / Actual 4,Items in Cart,QA77S90DAEXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,Failed,121.80000000000007
2024-5-18 0:46:55,EUS-20,QA75QN900DJXZK,"75"" Neo QLED 8K QN900D",SKU Price,70382,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,70382,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,Less - Expected 5 / Actual 4,Items in Cart,QA75QN900DJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-HW-Q930D/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,Failed,157.51
2024-5-18 0:49:41,EUS-19,QA75QN800DJXZK,"75"" Neo QLED 8K QN800D",SKU Price,64222,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,64222,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,Less - Expected 5 / Actual 4,Items in Cart,QA75QN800DJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-HW-Q930D/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,Failed,130.25
2024-5-18 0:51:55,EUS-18,QA75LS03DAJXZK,"75"" Lifestyle Frame LS03D",SKU Price,43982,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,43982,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,6,Passed,-,Items in Cart,QA75LS03DAJXZK,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-VG-SCFA75WTBRU,1,Passed,Z-HW-S801B/ZK,1,Passed,Z-MOOV24BIT6MONTH,1,Passed,Z-VG-SCFC32SGMXY,1,Failed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,Passed,151.04999999999995
2024-5-18 0:54:27,EUS-17,QA65S95DAJXZK,"65"" OLED S95D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),51.960000000000036
2024-5-18 0:55:20,EUS-16,QA65S90DAJXZK,"65"" OLED S90DA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),46.62999999999988
2024-5-18 0:56:14,EUS-15,QA65QN95DAJXZK,"65"" Neo QLED 4K QN95D",SKU Price,26382,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,26382,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Passed,-,Items in Cart,QA65QN95DAJXZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,Z-QA32LS03CBJXZK,1,Passed,Z-HW-S800B/ZK,1,Failed,Z-UEFAEURO2024,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,Passed,120.42000000000007
2024-5-18 0:58:20,EUS-14,QA65QN900DJXZK,"65"" Neo QLED 8K QN900D",SKU Price,37822,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,37822,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA65QN900DJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,121.36999999999989
2024-5-18 1:19:22,EUS-13,QA65QN87DAJXZK,"65"" Neo QLED 4K QN87D",SKU Price,18462,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,18462,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,QA65QN87DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,119.72
2024-5-18 1:21:24,EUS-12,QA65QN800DJXZK,"65"" Neo QLED 8K QN800D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),49.34
2024-5-18 1:22:15,EUS-11,QA65LS03DAJXZK,"65"" Lifestyle Frame LS03D",SKU Price,17582,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,17582,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,QA65LS03DAJXZK,1,Passed,Z-HW-S801B/ZK,1,Failed,Z-MOOV24BIT6MONTH,1,Passed,Z-VG-SCFA65WTB,1,Passed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,Passed,115.83000000000001
2024-5-18 1:24:17,EUS-10,QA55S95DAJXZK,"55"" OLED S95D",SKU Price,18462,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,18462,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA55S95DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,112.88
2024-5-18 1:26:18,EUS-09,QA55S90DAJXZK,"55"" OLED S90DA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),55.05000000000001
2024-5-18 1:27:10,EUS-08,QA55QN95DAJXZK,"55"" Neo QLED 4K QN95D",SKU Price,18462,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,18462,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,QA55QN95DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-WMN-B05FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,121.45999999999992
2024-5-18 1:29:19,EUS-07,QA55QN90DAJXZK,"55"" Neo QLED 4K QN90D",SKU Price,15822,Passed,Galaxy Credit,0,Passed,SKU Price in Cart,15822,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA55QN90DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-UEFAEURO2024,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,124.67999999999995
