2024-5-22 0:0:2,CEHC-169,RA-M17DAA41GG,BESPOKE  1-Door Glass Panel (Glam Navy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),29.599999999998545
2024-5-22 0:0:34,CEHC-170,DF60A8500CG/SH,AI智能魔衣櫥 JetSteam除菌清新,SKU Price,10380,Passed,,,,SKU Price in Cart,10380,Passed,Trade-Up Discount,400,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,DF60A8500CG/SH,1,Passed,Z-ITFITEX37,1,Failed,Z-DF-HK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,70.81999999999971
2024-5-22 0:1:49,CEHC-171,WA70M4000SW/SH,WA70M4000<br>Top Loader Without Drain Pump 7kg White,SKU Price,2290,Passed,,,,SKU Price in Cart,2290,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,WA70M4000SW/SH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,74.32999999999993
2024-5-22 0:3:3,CEHC-172,WA70M4200SW/SH,WA70M4200 Top Loader With Drain Pump 7kg White,SKU Price,2490,Passed,,,,SKU Price in Cart,2490,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,WA70M4200SW/SH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,70.42000000000007
2024-5-22 0:4:15,CEHC-173,WA70M4400SS/SH,WA70M4400 Top Loader With Drain Pump 7kg Inox ,SKU Price,2590,Passed,,,,SKU Price in Cart,2590,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,WA70M4400SS/SH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,73.06999999999971
2024-5-22 0:5:31,CEHC-174,WA80CG4545BDSH,WA80CG4545BDSH Ecobubble™ Top Loader without Drain Pump 8kg Versailles Gary,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA80CG4545BDSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.8799999999992
2024-5-22 0:6:44,CEHC-175,WA80C14545BVSH,WA80C14545BVSH Ecobubble™ Top Loader with Drain Pump 8kg Black Caviar,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA80C14545BVSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,67.18000000000029
2024-5-22 0:7:54,CEHC-176,WA10CG4545BDSH,WA10CG4545BDSH Ecobubble™ Top Loader without Drain Pump 10kg Versailles Gary,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA10CG4545BDSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,75.59000000000015
2024-5-22 0:9:11,CEHC-177,WA10C14545BVSH,WA10C14545BVSH Ecobubble™ Top Loader with Drain Pump 10kg Black Caviar,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WA10C14545BVSH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,67.32999999999993
2024-5-22 0:10:20,CEHC-178,WD10T754DBH/SH,"WD10T754DBH AI Ecobubble™ AI Control Front Load Washing Machine + Dryer Combo 10.5/7kg, 1400rpm",SKU Price,5590,Failed,,,,SKU Price in Cart,5590,Failed,Trade-Up Discount,200,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WD10T754DBH/SH,1,Passed,Z-ITFITEX42,1,Passed,Z-ITFITF16,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,66.84000000000015
2024-5-22 0:11:30,CEHC-179,WD70TA046BE/SH,"WD70TA046BE/SH Hygiene Steam Front Load Washer + Dryer Combo 7/5kg, 1400rpm",SKU Price,4290,Passed,,,,SKU Price in Cart,4290,Passed,Trade-Up Discount,150,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WD70TA046BE/SH,1,Passed,Z-ITFITEX42,1,Passed,Z-ITFITF16,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,70.39999999999964
