2024-6-18 2:0:59,5,E-SMP-01,SM-S9280LBPTGY,"Galaxy S24 Ultra, 1TB, Titanium Blue",SKU Price,10176,Passed,Galaxy Credit,,,SKU Price in Cart,10176,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280LBPTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,83.03999999999999
2024-6-18 2:2:28,6,E-SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,8536,Passed,Galaxy Credit,,,SKU Price in Cart,8536,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,69.83999999999999
2024-6-18 2:3:41,7,E-SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,7716,Passed,Galaxy Credit,,,SKU Price in Cart,7716,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKGTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,66.54999999999998
2024-6-18 2:4:50,8,E-SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",SKU Price,6750,Passed,Galaxy Credit,,,SKU Price in Cart,6750,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKGTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,67.09
2024-6-18 2:6:0,9,E-SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,5930,Passed,Galaxy Credit,,,SKU Price in Cart,5930,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKDTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,68.33000000000004
2024-6-18 2:7:12,10,E-SMP-06,SM-S9210ZKHTGY,"Galaxy S24, 512GB, Onyx Black",SKU Price,5563,Passed,Galaxy Credit,,,SKU Price in Cart,5563,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKHTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,65.75999999999999
2024-6-18 2:8:22,11,E-SMP-07,SM-S9210ZKGTGY,"Galaxy S24, 256GB, Onyx Black",SKU Price,4713,Passed,Galaxy Credit,,,SKU Price in Cart,4713,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKGTGY,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-SM-R400NZWATGY,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,65.41999999999996
2024-6-18 2:9:29,12,E-SMP-08,SM-F9460LBHTGY,"Galaxy Z Fold5 1TB, Icy Blue",SKU Price,12449,Passed,Galaxy Credit,,,SKU Price in Cart,12449,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460LBHTGY,1,Failed,Z-ITFITCA05,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,Z-SM-R510NZAAASAMX,1,Failed,,,,,,,,,,,,,,,,,,,Failed,67.20999999999998
2024-6-18 2:10:40,13,E-SMP-09,SM-F9460ZUGTGY,"Galaxy Z Fold5 512, Gray (eStore)",SKU Price,10949,Passed,Galaxy Credit,,,SKU Price in Cart,10949,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460ZUGTGY,1,Failed,Z-ITFITCA05,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,Z-SM-R510NZAAASAMX,1,Failed,,,,,,,,,,,,,,,,,,,Failed,68.75
2024-6-18 2:11:54,14,E-SMP-10,SM-F9460ZKDTGY,"Galaxy Z Fold5 256, 12GB + 256GB, Black",SKU Price,10199,Passed,Galaxy Credit,,,SKU Price in Cart,10199,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-F9460ZKDTGY,1,Failed,Z-ITFITCA05,1,Failed,Z-EP-T6530NBEGGB,1,Failed,Z-EB-P4520XUEGWW-M,1,Failed,Z-SM-R510NZAAASAMX,1,Failed,,,,,,,,,,,,,,,,,,,Failed,71.13
