2024-6-19 1:32:0,5,E-SMP-01,SM-S9280LBPTGY,"Galaxy S24 Ultra, 1TB, Titanium Blue",SKU Price,10176,Passed,Galaxy Credit,,,SKU Price in Cart,10176,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280LBPTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-202406WWTICKET-D,2,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,78.45
2024-6-19 1:33:17,6,E-SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,8536,Passed,Galaxy Credit,,,SKU Price in Cart,8536,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-202406WWTICKET-D,2,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,66.26
2024-6-19 1:34:25,7,E-SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,7716,Passed,Galaxy Credit,,,SKU Price in Cart,7716,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,SM-S9280ZKGTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,60.639999999999986
2024-6-19 1:35:29,8,E-SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",SKU Price,6750,Passed,Galaxy Credit,,,SKU Price in Cart,6750,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,SM-S9260ZKGTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,59.349999999999994
2024-6-19 1:36:31,9,E-SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,5930,Passed,Galaxy Credit,,,SKU Price in Cart,5930,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Failed,More - Expected 2 / Actual 3,Items in Cart,SM-S9260ZKDTGY,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,65.33000000000004
2024-6-19 1:37:39,10,E-SMP-08,SM-F9460LBHTGY,"Galaxy Z Fold5 1TB, Icy Blue",SKU Price,12449,Passed,Galaxy Credit,,,SKU Price in Cart,12449,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460LBHTGY,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITCA05,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-202406WWTICKET-D,2,Passed,,,,,,,,,,,,,,,,,,,Passed,69.87
2024-6-19 1:38:52,11,E-SMP-09,SM-F9460ZUGTGY,"Galaxy Z Fold5 512, Gray (eStore)",SKU Price,10949,Passed,Galaxy Credit,,,SKU Price in Cart,10949,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460ZUGTGY,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITCA05,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,Z-202406WWTICKET-D,2,Passed,,,,,,,,,,,,,,,,,,,Passed,67.00999999999999
2024-6-19 1:40:2,12,E-SMP-10,SM-F9460ZKDTGY,"Galaxy Z Fold5 256, 12GB + 256GB, Black",SKU Price,10199,Passed,Galaxy Credit,,,SKU Price in Cart,10199,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-F9460ZKDTGY,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITCA05,1,Failed,Z-EB-P4520XUEGWW-M,1,Passed,Z-202406WWTICKET-D,2,Passed,,,,,,,,,,,,,,,,,,,Failed,66.99000000000007
2024-6-19 1:41:14,13,E-SMP-11,SM-F7310ZYETGY,"Galaxy Z Flip5 512, Yellow (eStore)",SKU Price,6974,Passed,Galaxy Credit,,,SKU Price in Cart,6974,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F7310ZYETGY,1,Passed,Z-EF-ZF731CTEGWW,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-EP-P5400TWEGGB,1,Passed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,,,,Passed,68.59000000000003
2024-6-19 1:42:23,14,E-SMP-12,SM-F7310ZEATGY,"Galaxy Z Flip5 256, 8GB + 256GB, Cream",SKU Price,6224,Passed,Galaxy Credit,,,SKU Price in Cart,6224,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Failed,More - Expected 4 / Actual 5,Items in Cart,SM-F7310ZEATGY,1,Passed,Z-EF-ZF731CTEGWW,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-EP-P5400TWEGGB,1,Passed,Z-EP-T6530NBEGGB,1,Failed,Z-EB-P4520XUEGWW-M,1,Passed,,,,,,,,,,,,,,,,Failed,69.13999999999999
