2024-5-18 0:27:37,,QA75Q70DAJXZK,"75"" QLED Q70D",SKU Price,29980,Passed,,,,SKU Price in Cart,29980,Passed,Trade-Up Discount,1200,Passed,SC Plus Price,,,Premium Count,1,Failed,Less - Expected 2 / Actual 1,Items in Cart,QA75Q70DAJXZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,65.93
2024-5-18 0:28:44,,QA65QN85CAJXZK,"65"" Neo QLED 4K QN85C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),23.97
2024-5-18 0:29:10,,QA65Q70DAJXZK,"65"" QLED Q70D",SKU Price,16980,Passed,,,,SKU Price in Cart,16980,Passed,Trade-Up Discount,800,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA65Q70DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,76.56
2024-5-18 0:30:36,,QA65Q60DAJXZK,"65"" QLED Q60D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),64.67999999999998
2024-5-18 0:31:43,,QA55QN90CAJXZK,"55"" Neo QLED 4K QN90C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),42.50999999999999
2024-5-18 0:32:29,,QA55QN85CAJXZK,"55"" Neo QLED 4K QN85C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40.81
2024-5-18 0:33:10,,QA55Q70DAJXZK,"55"" QLED Q70D",SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,400,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA55Q70DAJXZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,86.69999999999999
2024-5-18 0:34:42,,QA55Q60DAJXZK,"55"" QLED Q60D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),55.02000000000004
2024-5-18 0:35:41,,QA50Q80DAJXZK,"50"" QLED Q80D",SKU Price,8480,Passed,,,,SKU Price in Cart,8480,Failed,Trade-Up Discount,0,Failed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA50Q80DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,101.55000000000001
2024-5-18 0:37:27,,QA50LS03DAJXZK,"50"" Lifestyle Frame LS03D",SKU Price,11980,Passed,,,,SKU Price in Cart,11980,Failed,Trade-Up Discount,0,Failed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA50LS03DAJXZK,1,Passed,Z-VG-SCFA50WTBRU,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,115.98000000000002
