2024-5-21 22:6:51,CEHC-180,WD70T4046CH/SH,"WD70T4046CH Hygiene Steam Front Load Washer + Dryer Combo 7/5kg, 1400rpm",SKU Price,4290,Passed,,,,SKU Price in Cart,4290,Passed,Trade-Up Discount,150,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WD70T4046CH/SH,1,Passed,Z-ITFITF16,1,Passed,Z-ITFITEX42,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,90.17
2024-5-21 22:8:25,CEHC-181,WD80T654DBE/SH,"WD80T654DBE AI Ecobubble™ AI Control Front Load Washing Machine + Dryer Combo 8/6kg, 1400rpm",SKU Price,4990,Passed,,,,SKU Price in Cart,4990,Passed,Trade-Up Discount,150,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WD80T654DBE/SH,1,Passed,Z-ITFITF16,1,Passed,Z-ITFITEX42,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,83.22
2024-5-21 22:9:52,CEHC-182,WD80TA546BH/SH,"WD80TA546BH AddWash™ Front Load Washing Machine + Dryer Combo 8/6kg, 1400rpm",SKU Price,4790,Passed,,,,SKU Price in Cart,4790,Passed,Trade-Up Discount,150,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WD80TA546BH/SH,1,Passed,Z-ITFITF16,1,Passed,Z-ITFITEX42,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,81.31
2024-5-21 22:11:14,CEHC-183,WW70T3020BW/SH,"WW70T3020BW/SH Slim440 Digital Inverter Front Load Washing Machine 7kg, 1200rpm",SKU Price,3190,Passed,,,,SKU Price in Cart,3190,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WW70T3020BW/SH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,80.11000000000001
2024-5-21 22:12:37,CEHC-184,WW70T3020BS/SH,"WW70T3020BS/SH Slim440 Digital Inverter Front Load Washing Machine 7kg, 1200rpm",SKU Price,3290,Passed,,,,SKU Price in Cart,3290,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WW70T3020BS/SH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,79.00999999999999
2024-5-21 22:13:58,CEHC-185,WW80T3040BW/SH,"WW80T3040BW/SH Slim465 Digital Inverter Front Load Washing Machine 8kg, 1400rpm",SKU Price,3490,Passed,,,,SKU Price in Cart,3490,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WW80T3040BW/SH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.63
2024-5-21 22:15:13,CEHC-186,WW80T3040BS/SH,"WW80T3040BS/SH Slim465 Digital Inverter Front Load Washing Machine 8kg, 1400rpm",SKU Price,3590,Passed,,,,SKU Price in Cart,3590,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WW80T3040BS/SH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,66.93999999999994
2024-5-21 22:16:23,CEHC-187,WW80TA046AE/SH,"WW80TA046AE/SH Hygiene Steam Front Load Washing Machine 8kg, 1400rpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),41.07999999999993
2024-5-21 22:17:7,CEHC-188,WW90T654DLE/SH,"WW90T654DLE AI Ecobubble™ AI Control Front Load Washing Machine 9kg, 1400rpm",SKU Price,4390,Passed,,,,SKU Price in Cart,4390,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WW90T654DLE/SH,1,Passed,Z-ITFITF16,1,Passed,Z-ITFITEX42,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,85.35000000000002
2024-5-21 22:18:35,CEHC-189,WW70AG5S21CESH,"WW70AG5S21CESH Slim Ecobubble™ Front Load Washing Machine 7kg, 1200rpm",SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,50,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,WW70AG5S21CESH,1,Passed,Z-ITFITAC05BE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,78.54999999999995
