2024-6-19 1:58:56,5,CTV-05,QA43LS05BBJXZK,"43"" The Sero LS05B 白色",SKU Price,12980,Passed,,,,SKU Price in Cart,12980,Failed,Trade-Up Discount,0,Failed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA43LS05BBJXZK,1,Passed,Z-202406WWTICKET-C,2,Passed,Z-VG-SCST43V/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,71
2024-6-19 2:0:11,6,CTV-35,QA98Q80CAJXZK,"98"" QLED 4K Q80C",SKU Price,79980,Passed,,,,SKU Price in Cart,79980,Failed,Trade-Up Discount,0,Failed,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA98Q80CAJXZK,1,Passed,Z-HW-Q930C/ZK,1,Passed,Z-WMN8000SX/XY,1,Passed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,80.52000000000001
2024-6-19 2:1:30,7,CTV-36,QA98QN990CJXZK,"98"" Neo QLED 8K QN990C",SKU Price,279980,Passed,,,,SKU Price in Cart,279980,Passed,Trade-Up Discount,10000,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA98QN990CJXZK,1,Passed,Z-WMN8000SX/XY,1,Passed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,63.379999999999995
2024-6-19 2:2:37,8,MON-06,LS49CG954SCXXK,"49"" Odyssey G9 OLED Curved Gaming Monitor (240Hz)",SKU Price,16980,Passed,,,,SKU Price in Cart,16980,Passed,Trade-Up Discount,800,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,LS49CG954SCXXK,1,Passed,Z-LS32A700NWCXXK-C,1,Failed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,70.02999999999997
2024-6-19 2:3:49,9,MON-07,LS57CG952NCXXK,"57"" Odyssey Neo G9 Curved Gaming Monitor (240Hz)",SKU Price,21980,Passed,,,,SKU Price in Cart,21980,Passed,Trade-Up Discount,1000,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS57CG952NCXXK,1,Passed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,68.14999999999998
2024-6-19 2:4:58,10,MON-16,LS27C900PACXXK,"27"" ViewFinity S9 5K Monitor",SKU Price,10490,Passed,,,,SKU Price in Cart,10490,Passed,Trade-Up Discount,500,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS27C900PACXXK,1,Passed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,71.35000000000002
2024-6-19 2:6:14,11,MON-22,LS55CG970NCXXK,"55"" Odyssey Ark 2<sup>nd</sup> Gen Curved Gaming Monitor (165Hz)",SKU Price,25800,Passed,,,,SKU Price in Cart,25800,Passed,Trade-Up Discount,1200,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,LS55CG970NCXXK,1,Passed,Z-LS32A700NWCXXK-C,1,Failed,Z-202406WWTICKET-C,2,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,79.10999999999996
2024-6-19 2:7:35,12,MON-24,LS32DG802SCXXK,"32"" Odyssey G8 OLED Gaming Monitor (240Hz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),33.77999999999997
2024-6-19 2:8:11,13,MON-25,LS27DG602SCXXK,"27"" Odyssey G6 OLED Gaming Monitor (360Hz)",SKU Price,6980,Passed,,,,SKU Price in Cart,6980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS27DG602SCXXK,1,Passed,Z-SM-X210NZA-TV,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.06000000000006
2024-6-19 2:9:15,14,MON-26,LS32DM803UCXXK,"32"" M8 Smart Monitor (2024)",SKU Price,4980,Passed,,,,SKU Price in Cart,4980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS32DM803UCXXK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.680000000000064
2024-6-19 2:10:20,15,MON-27,LS32DM702UCXXK,"32"" M7 Smart Monitor (2024), Black",SKU Price,3480,Passed,,,,SKU Price in Cart,3480,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS32DM702UCXXK,1,Passed,Z-MYTVGOLD3MTH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,66.47000000000003
2024-6-19 2:11:29,16,MON-28,LS32DM703UCXXK,"32"" M7 Smart Monitor (2024), White",SKU Price,3480,Passed,,,,SKU Price in Cart,3480,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,LS32DM703UCXXK,1,Passed,Z-MYTVGOLD3MTH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,63.83000000000004
2024-6-19 2:12:36,17,CTV-82,QA55Q70DAJXZK,"55"" QLED Q70D",SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,400,Passed,SC Plus Price,,,Premium Count,3,Failed,More - Expected 1 / Actual 3,Items in Cart,QA55Q70DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,Z-UA32T5300AJXZK,1,Failed,Z-202406WWTICKET-C,2,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,82.13999999999999
