2024-8-6 10:44:9,192,VC-02,VS20B95993B/SH,VS20B95993BSH Bespoke Jet Plus 210W  Midnight Blue,SKU Price,6990,Passed,,,,SKU Price in Cart,6990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,5,Failed,More - Expected 4 / Actual 5,Items in Cart,VS20B95993B/SH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW28-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,Z-VCA-SPW95/VT,1,Passed,Z-VCA-SPA95/GL,1,Failed,,,,,,,,,,,,,,,,Failed,50.11
2024-8-6 10:45:1,193,VC-03,VS20B958F3N/SP,VS20B958F3NSP Bespoke Jet Plus 210W Woody Green,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,VS20B958F3N/SP,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,Z-VCA-TABA95,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,51.550000000000004
2024-8-6 10:51:28,194,VC-04,VS20B95843W/SH,VS20B95843WSH Bespoke Jet Plus 210W Misty White,SKU Price,5590,Passed,,,,SKU Price in Cart,5590,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Failed,Less - Expected 4 / Actual 3,Items in Cart,VS20B95843W/SH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,Z-VCA-WBA95/GL,1,Passed,,,,,,,,,,,,,,,,,,,,,,Failed,48.96
2024-8-6 10:52:27,207,FAB-01,DF60A8500CG/SH,AI智能魔衣櫥 JetSteam除菌清新,SKU Price,10380,Passed,,,,SKU Price in Cart,10380,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,DF60A8500CG/SH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW28-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,Z-DF-HK,1,Passed,,,,,,,,,,,,,,,,,,,Passed,50.620000000000005
2024-8-6 10:53:21,211,WM-04,WA80CG4545BDSH,WA80CG4545BDSH Ecobubble™ Top Loader without Drain Pump 8kg Versailles Gary,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WA80CG4545BDSH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,50.09
2024-8-6 10:54:13,212,WM-05,WA80C14545BVSH,WA80C14545BVSH Ecobubble™ Top Loader with Drain Pump 8kg Black Caviar,SKU Price,2790,Passed,,,,SKU Price in Cart,2790,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WA80C14545BVSH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,50.77000000000001
2024-8-6 10:55:6,213,WM-06,WA10CG4545BDSH,WA10CG4545BDSH Ecobubble™ Top Loader without Drain Pump 10kg Versailles Gary,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WA10CG4545BDSH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,49.96000000000001
2024-8-6 10:56:42,214,WM-07,WA10C14545BVSH,WA10C14545BVSH Ecobubble™ Top Loader with Drain Pump 10kg Black Caviar,SKU Price,3390,Passed,,,,SKU Price in Cart,3390,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,WA10C14545BVSH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,49.400000000000034
2024-8-6 10:57:36,218,WM-11,WD80T654DBE/SH,"WD80T654DBE AI Ecobubble™ AI Control Front Load Washing Machine + Dryer Combo 8/6kg, 1400rpm",SKU Price,4990,Passed,,,,SKU Price in Cart,4990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,WD80T654DBE/SH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW28-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,51.57000000000005
2024-8-6 10:58:34,224,WM-18,WW90T654DLE/SH,"WW90T654DLE AI Ecobubble™ AI Control Front Load Washing Machine 9kg, 1400rpm",SKU Price,4390,Passed,,,,SKU Price in Cart,4390,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,WW90T654DLE/SH,1,Passed,Z-ITFITF17-C,1,Passed,Z-ITFITPW28-C,1,Passed,Z-ITFITPW21OCE-C,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,51.089999999999975
