2024-5-14 0:7:23,ACE-01,QA32LS03CBJXZK,"32"" The Frame LS03C",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA32LS03CBJXZK,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,64.28
2024-5-14 0:8:38,ACE-02,QA43LS01DAJXZK,"43"" Lifestyle Serif LS01D",SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43LS01DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,58.88000000000001
2024-5-14 0:9:32,ACE-03,QA43LS03BAJXZK,43” The Frame LS03B,SKU Price,7980,Passed,,,,SKU Price in Cart,7980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA43LS03BAJXZK,1,Passed,Z-HW-S61B/ZK,1,Passed,Z-ARTSTORE6MTHS,1,Passed,Z-VG-SCFC43SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,66.38
2024-5-14 0:10:43,ACE-04,QA43LS03DAJXZK,"43"" Lifestyle Frame LS03D",SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA43LS03DAJXZK,1,Passed,Z-VG-SCFA43WTBRU,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,65.74000000000001
2024-5-14 0:11:52,ACE-05,QA43LS05BAJXZK,"43"" The Sero LS05B",SKU Price,12980,Passed,,,,SKU Price in Cart,12980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA43LS05BAJXZK,1,Passed,Z-VG-SCST43V/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,73.06
2024-5-14 0:13:8,ACE-06,QA43LS05BBJXZK,"43"" The Sero LS05B 白色",SKU Price,12980,Passed,,,,SKU Price in Cart,12980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA43LS05BBJXZK,1,Passed,Z-VG-SCST43V/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,65.68
2024-5-14 0:14:17,ACE-07,QA43QN90CAJXZK,"43"" Neo QLED 4K QN90C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),38.77000000000004
2024-5-14 0:14:55,ACE-08,QA43QN90DAJXZK,"43"" Neo QLED 4K QN90D",SKU Price,10480,Failed,,,,SKU Price in Cart,10480,Failed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43QN90DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,58.39000000000004
2024-5-14 0:16:1,ACE-09,QA48S90DAEXZK,"48"" OLED S90DAE",SKU Price,12480,Passed,,,,SKU Price in Cart,12480,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA48S90DAEXZK,1,Passed,Z-WMN-B05FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,68.89999999999998
2024-5-14 0:17:12,ACE-10,QA50LS03BAJXZK,50” The Frame LS03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),38.780000000000086
2024-5-14 0:17:59,ACE-11,QA50LS03DAJXZK,"50"" Lifestyle Frame LS03D",SKU Price,11980,Passed,,,,SKU Price in Cart,11980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA50LS03DAJXZK,1,Passed,Z-VG-SCFA50WTBRU,1,Passed,Z-ARTSTORE6MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,57.69999999999993
2024-5-14 0:18:55,ACE-12,QA50Q80DAJXZK,"50"" QLED Q80D",SKU Price,8480,Passed,,,,SKU Price in Cart,8480,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA50Q80DAJXZK,1,Passed,Z-HW-C450/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.14999999999998
2024-5-14 0:20:1,ACE-13,QA50QN90DAJXZK,"50"" Neo QLED 4K QN90D",SKU Price,13980,Failed,,,,SKU Price in Cart,13980,Failed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA50QN90DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,64.92999999999995
2024-5-14 0:21:9,ACE-14,QA55LS03DAJXZK,"55"" Lifestyle Frame LS03D",SKU Price,14980,Passed,,,,SKU Price in Cart,14980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA55LS03DAJXZK,1,Passed,Z-VG-SCFA55WTBRU,1,Passed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.30000000000007
2024-5-14 0:22:25,ACE-15,QA55Q60DAJXZK,"55"" QLED Q60D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),39.39999999999998
2024-5-14 0:23:6,ACE-16,QA55Q70DAJXZK,"55"" QLED Q70D",SKU Price,9980,Passed,,,,SKU Price in Cart,9980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA55Q70DAJXZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,64.71000000000004
2024-5-14 0:24:16,ACE-17,QA55QN85CAJXZK,"55"" Neo QLED 4K QN85C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),40.12000000000012
