2024-6-1 0:3:38,S-SMP-01,SM-S9280LBPTGY,"Galaxy S24 Ultra, 1TB, Titanium Blue",SKU Price,10576,Passed,Galaxy Credit,,,SKU Price in Cart,10576,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280LBPTGY,1,Passed,Z-ITFITE01,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,97.92
2024-6-1 0:5:24,S-SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,8936,Passed,Galaxy Credit,,,SKU Price in Cart,8936,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Passed,Z-ITFITE01,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,134.62
2024-6-1 0:7:42,S-SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,8116,Passed,Galaxy Credit,,,SKU Price in Cart,8116,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKGTGY,1,Passed,Z-ITFITE01,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,73.17999999999998
2024-6-1 0:8:59,S-SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),42.129999999999995
2024-6-1 0:9:42,S-SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,6230,Passed,Galaxy Credit,,,SKU Price in Cart,6230,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKDTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,Z-SM-R400NZWATGY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,68.38999999999999
2024-6-1 0:10:55,S-SMP-06,SM-S9210ZKHTGY,"Galaxy S24, 512GB, Onyx Black",SKU Price,5863,Passed,Galaxy Credit,,,SKU Price in Cart,5863,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKHTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,66.62
2024-6-1 0:12:7,S-SMP-07,SM-S9210ZKGTGY,"Galaxy S24, 256GB, Onyx Black",SKU Price,5013,Passed,Galaxy Credit,,,SKU Price in Cart,5013,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-S9210ZKHTGY,1,Failed,SM-S9210ZKGTGY,1,Passed,Z-SM-R400NZWATGY,2,Passed,Z-EP-T6530NBEGGB,2,Passed,Z-ITFITE01,2,Passed,,,,,,,,,,,,,,,,,,,Failed,68.71000000000004
2024-6-1 0:13:16,S-SMP-08,SM-F9460ZKHTGY,"Galaxy Z Fold5 1TB, 12GB + 1TB, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),37.16999999999996
2024-6-1 0:13:55,S-SMP-09,SM-F9460ZUGTGY,"Galaxy Z Fold5 512, Gray (eStore)",SKU Price,10949,Passed,Galaxy Credit,,,SKU Price in Cart,10949,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Failed,More - Expected 3 / Actual 5,Items in Cart,SM-S9210ZKHTGY,1,Failed,SM-F9460ZUGTGY,1,Passed,Z-ITFITE01,2,Passed,Z-EP-T6530NBEGGB,2,Passed,Z-SM-R400NZWATGY,1,Failed,Z-SM-R510NZAAASAMX,1,Passed,,,,,,,,,,,,,,,,Failed,81.79999999999995
2024-6-1 0:15:30,S-SMP-10,SM-F9460ZKDTGY,"Galaxy Z Fold5 256, 12GB + 256GB, Black",SKU Price,10199,Passed,Galaxy Credit,,,SKU Price in Cart,10199,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Failed,More - Expected 3 / Actual 5,Items in Cart,SM-S9210ZKHTGY,1,Failed,SM-F9460ZKDTGY,1,Passed,Z-ITFITE01,2,Passed,Z-EP-T6530NBEGGB,2,Passed,Z-SM-R400NZWATGY,1,Failed,Z-SM-R510NZAAASAMX,1,Passed,,,,,,,,,,,,,,,,Failed,95.05999999999995
