2024-7-19 1:2:16,5,S-SMP-01,SM-S9280ZYPTGY,"Galaxy S24 Ultra, 1TB, Titanium Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),35.86
2024-7-19 1:2:47,6,S-SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,8936,Passed,Galaxy Credit,,,SKU Price in Cart,8936,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,66.85
2024-7-19 1:3:54,7,S-SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,8116,Passed,Galaxy Credit,,,SKU Price in Cart,8116,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKGTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,69.6
2024-7-19 1:5:11,8,S-SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",SKU Price,7050,Passed,Galaxy Credit,,,SKU Price in Cart,7050,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKGTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,63.45000000000002
2024-7-19 1:6:16,9,S-SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,6230,Passed,Galaxy Credit,,,SKU Price in Cart,6230,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKDTGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,64.49999999999997
2024-7-19 1:7:28,10,S-SMP-06,SM-S9210ZKHTGY,"Galaxy S24, 512GB, Onyx Black",SKU Price,5656,Passed,Galaxy Credit,,,SKU Price in Cart,5656,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKHTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,124.11000000000001
2024-7-19 1:9:32,11,S-SMP-07,SM-S9210ZKGTGY,"Galaxy S24, 256GB, Onyx Black",SKU Price,4836,Passed,Galaxy Credit,,,SKU Price in Cart,4836,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKGTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITAC13-M,1,Passed,Z-EP-T6530NBEGGB,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,124.95999999999998
2024-7-19 1:11:55,26,S-SMP-22,SM-S7110LGGTGY,"Galaxy S23 FE 256, Mint",SKU Price,3824,Passed,Galaxy Credit,,,SKU Price in Cart,3824,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-S7110LGGTGY,1,Passed,Z-EF-QS711CTEGWW,1,Passed,Z-ITAC13-M,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-ITFITPW03,1,Passed,,,,,,,,,,,,,,,,,,,Passed,71.30999999999995
2024-7-19 1:13:9,27,S-SMP-23,SM-A5560LBDTGY,Galaxy A55 5G 12GB 256GB Awesome Iceblue,SKU Price,2958,Passed,Galaxy Credit,,,SKU Price in Cart,2958,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Failed,Less - Expected 3 / Actual 2,Items in Cart,SM-A5560LBDTGY,1,Passed,Z-EB-P3400XUEGWW,1,Passed,Z-ITFITT10WE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,59.200000000000045
2024-7-19 1:14:9,28,S-SMP-24,SM-A5560ZKATGY,Galaxy A55 5G 8GB 128GB Awesome Navy,SKU Price,2638,Passed,Galaxy Credit,,,SKU Price in Cart,2638,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Failed,Less - Expected 3 / Actual 2,Items in Cart,SM-A5560ZKATGY,1,Passed,Z-EB-P3400XUEGWW,1,Passed,Z-ITFITT10WE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,53.09000000000003
2024-7-19 1:15:59,29,S-SMP-25,SM-A3560LVGTGY,Galaxy A35 5G 8GB 256GB Awesome Lilac,SKU Price,2398,Passed,Galaxy Credit,,,SKU Price in Cart,2398,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Failed,Less - Expected 3 / Actual 2,Items in Cart,SM-A3560LVGTGY,1,Passed,Z-EB-P3400XUEGWW,1,Passed,Z-ITFITT10WE,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,111.22000000000003
