2024-5-18 1:17:36,NEW,UA50DU7700JXZK,"50"" Crystal UHD DU7700",SKU Price,5280,Passed,,,,SKU Price in Cart,5280,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,UA50DU7700JXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.01
2024-5-18 1:18:41,NEW,QA50QE1DAJXZK,"50"" QLED QE1D",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA50QE1DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,60.209999999999994
2024-5-18 1:19:44,NEW,QA43Q60DAJXZK,"43"" QLED Q60D",SKU Price,5980,Passed,,,,SKU Price in Cart,5980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,QA43Q60DAJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,65.08999999999997
2024-5-18 1:20:52,NEW,HW-S701D/ZK,S-Series HW-S701D Soundbar,SKU Price,3890,Passed,,,,SKU Price in Cart,3890,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,HW-S701D/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.900000000000006
2024-5-18 1:21:57,NEW,HW-B650D/ZK,B-Series HW-B550 2.1ch Soundbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),28.839999999999975
2024-5-18 1:22:28,EU-28,HW-LS60D/ZK,S-Series HW-LS60D Music Frame,SKU Price,3980,Passed,,,,SKU Price in Cart,3980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,HW-LS60D/ZK,1,Passed,Z-MUSICFRAMEPHOTOS,1,Passed,Z-MOOV24BIT6MONTH,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,69.90000000000003
2024-5-18 1:23:40,EU-27,HW-S800D/ZK,S-Series HW-S800D Soundbar,SKU Price,3990,Passed,,,,SKU Price in Cart,3990,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,1,Failed,Less - Expected 2 / Actual 1,Items in Cart,HW-S800D/ZK,1,Passed,Z-VG-SCFBS8BW/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,65.83000000000004
2024-5-18 1:24:48,EU-26,HW-S801D/ZK,S-Series HW-S801D Soundbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),27.310000000000002
2024-5-18 1:25:18,EU-25,QA43QN90DAJXZK,"43"" Neo QLED 4K QN90D",SKU Price,10480,Passed,,,,SKU Price in Cart,10480,Passed,Trade-Up Discount,100,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA43QN90DAJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.50999999999999
2024-5-18 1:26:33,EU-24,QA48S90DAEXZK,"48"" OLED S90DAE",SKU Price,12480,Passed,,,,SKU Price in Cart,12480,Passed,Trade-Up Discount,500,Passed,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA48S90DAEXZK,1,Passed,Z-WMN-B05FB/XY,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,70.85000000000002
2024-5-18 1:27:47,EU-23,QA50QN90DAJXZK,"50"" Neo QLED 4K QN90D",SKU Price,13980,Passed,,,,SKU Price in Cart,13980,Passed,Trade-Up Discount,500,Passed,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA50QN90DAJXZK,1,Passed,Z-UEFAEURO2024,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,74.47000000000003
2024-5-18 1:29:4,EU-22,QA55LS03DAJXZK,"55"" Lifestyle Frame LS03D",SKU Price,14980,Passed,,,,SKU Price in Cart,14980,Passed,Trade-Up Discount,600,Passed,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA55LS03DAJXZK,1,Passed,Z-VG-SCFA55WTBRU,1,Passed,Z-HW-S801B/ZK,1,Passed,Z-ARTSTORE12MTHS,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,73.28999999999996
2024-5-18 1:30:19,EU-21,QA55QN85DBJXZK,"55"" Neo QLED 4K QN85D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),30.08000000000004
2024-5-18 1:30:53,EU-20,QA55QN87DAJXZK,"55"" Neo QLED 4K QN87D",SKU Price,14980,Passed,,,,SKU Price in Cart,14980,Passed,Trade-Up Discount,700,Passed,SC Plus Price,,,Premium Count,3,Failed,More - Expected 2 / Actual 3,Items in Cart,QA55QN87DAJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,Z-WMN-B05FB/XY,1,Passed,Z-UEFAEURO2024,1,Failed,,,,,,,,,,,,,,,,,,,,,,Failed,81.01999999999998
