2024-5-14 1:10:7,ACE-37,QA75Q70DAJXZK,"75"" QLED Q70D",SKU Price,29980,Passed,,,,SKU Price in Cart,29980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA75Q70DAJXZK,1,Passed,Z-UA32T5300AJXZK,1,Passed,Z-HW-S800B/ZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,54.760000000000005
2024-5-14 1:11:8,ACE-38,QA75QN800DJXZK,"75"" Neo QLED 8K QN800D",SKU Price,72980,Passed,,,,SKU Price in Cart,72980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA75QN800DJXZK,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-HW-Q930D/ZK,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,72.88
2024-5-14 1:12:23,ACE-39,QA75QN900DJXZK,"75"" Neo QLED 8K QN900D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),39.329999999999984
2024-5-14 1:13:3,ACE-40,QA77S90DAEXZK,"77"" OLED S90DAE",SKU Price,53980,Passed,,,,SKU Price in Cart,53980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA77S90DAEXZK,1,Passed,Z-SM-S9260ZKDT-CTV,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,55.16999999999999
2024-5-14 1:14:4,ACE-41,QA77S95CAJXZK,"77"" OLED 4K S95C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),35.56999999999999
2024-5-14 1:14:41,ACE-42,QA77S95DAJXZK,"77"" OLED S95D",SKU Price,69980,Passed,,,,SKU Price in Cart,69980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA77S95DAJXZK,1,Passed,Z-HW-S800D/ZK,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,68.80000000000001
2024-5-14 1:15:55,ACE-43,QA83S90DAEXZK,"83"" OLED S90DAE",SKU Price,85480,Passed,,,,SKU Price in Cart,85480,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA83S90DAEXZK,1,Passed,Z-SM-S9260ZKDT-CTV,1,Passed,Z-WMN-B16FB/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,68.13
2024-5-14 1:17:6,ACE-44,QA85QN900DJXZK,"85"" Neo QLED 8K QN900D",SKU Price,119980,Passed,,,,SKU Price in Cart,119980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA85QN900DJXZK,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-HW-Q930D/ZK,1,Passed,Z-WMN-B30FB/RU,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,66
2024-5-14 1:18:15,ACE-45,QA98Q80CAJXZK,"98"" QLED 4K Q80C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS (Blocked),37.26000000000005
2024-5-14 1:18:55,ACE-46,QA98QN90DAJXZK,"98"" Neo QLED 4K QN90D",SKU Price,129980,Passed,,,,SKU Price in Cart,129980,Passed,Trade-Up Discount,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,QA98QN90DAJXZK,1,Passed,Z-SM-S9280ZTGT-CTV,1,Passed,Z-HW-Q700D/ZK,1,Passed,Z-WMN8000SX/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,65.08999999999992
